"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/everlast1ng/code/vjudge/WUST/STL/B3807 [语言月赛 202307] 塔台超频.cpp", "C++", 0, -33, -1, -5, -39
"/home/everlast1ng/code/vjudge/WUST/STL/C. Registration system.cpp", "C++", 0, -35, -1, -5, -41
"/home/everlast1ng/code/vjudge/WUST/STL/Maps-STL.cpp", "C++", 0, -37, -1, -5, -43
"/home/everlast1ng/code/vjudge/WUST/STL/P1044 [NOIP 2003 普及组] 栈(dp).cpp", "C++", 0, -48, -2, -9, -59
"/home/everlast1ng/code/vjudge/WUST/STL/P1059 [NOIP 2006 普及组] 明明的随机数.cpp", "C++", 0, -37, -1, -8, -46
"/home/everlast1ng/code/vjudge/WUST/STL/P1093 [NOIP 2007 普及组] 奖学金.cpp", "C++", 0, -51, -1, -9, -61
"/home/everlast1ng/code/vjudge/WUST/STL/P1102 A-B 数对.cpp", "C++", 0, -35, -1, -9, -45
"/home/everlast1ng/code/vjudge/WUST/STL/P1449 后缀表达式.cpp", "C++", 0, -52, -1, -5, -58
"/home/everlast1ng/code/vjudge/WUST/STL/P1496 火烧赤壁.cpp", "C++", 0, -54, -1, -9, -64
"/home/everlast1ng/code/vjudge/WUST/STL/P1540 [NOIP 2010 提高组] 机器翻译.cpp", "C++", 0, -45, -1, -5, -51
"/home/everlast1ng/code/vjudge/WUST/STL/P1781 宇宙总统.cpp", "C++", 0, -40, -1, -9, -50
"/home/everlast1ng/code/vjudge/WUST/STL/P1901 发射站.cpp", "C++", 0, -42, -1, -10, -53
"/home/everlast1ng/code/vjudge/WUST/STL/P1996 约瑟夫问题.cpp", "C++", 0, -41, -1, -6, -48
"/home/everlast1ng/code/vjudge/WUST/STL/P3613 【深基15.例2】寄包柜.cpp", "C++", 0, -36, -1, -5, -42
"/home/everlast1ng/code/vjudge/WUST/STL/P3853 [TJOI2007] 路标设置.cpp", "C++", 0, -57, -1, -12, -70
"/home/everlast1ng/code/vjudge/WUST/STL/P4305 [JLOI2011] 不重复数字.cpp", "C++", 0, -38, 0, -5, -43
"/home/everlast1ng/code/vjudge/WUST/STL/Sets-STL.cpp", "C++", 0, -48, -1, -3, -52
"/home/everlast1ng/code/vjudge/WUST/STL/Shaolin.cpp", "C++", 0, -50, -1, -6, -57
"/home/everlast1ng/code/vjudge/WUST/STL/Stars.cpp", "C++", 0, -47, -1, -7, -55
"/home/everlast1ng/code/vjudge/WUST/STL/人见人爱A-B.cpp", "C++", 0, -54, -1, -6, -61
"/home/everlast1ng/code/vjudge/WUST/STL/最少拦截系统.cpp", "C++", 0, -44, -1, -5, -50
"/home/everlast1ng/code/vjudge/WUST/STL专项/FIGUREFUL.cpp", "C++", 0, -41, -1, -8, -50
"/home/everlast1ng/code/vjudge/WUST/STL专项/Fence Repair.cpp", "C++", 0, -31, -8, -10, -49
"/home/everlast1ng/code/vjudge/WUST/STL专项/{A} + {B}.cpp", "C++", 0, -38, -1, -5, -44
"/home/everlast1ng/code/vjudge/WUST/array/Bovine Bones G.cpp", "C++", 0, -31, 0, -7, -38
"/home/everlast1ng/code/vjudge/WUST/array/不与最大数相同的数字之和.cpp", "C++", 0, -21, 0, -7, -28
"/home/everlast1ng/code/vjudge/WUST/array/冰雹猜想.cpp", "C++", 0, -23, 0, -7, -30
"/home/everlast1ng/code/vjudge/WUST/array/压缩技术.cpp", "C++", 0, -31, 0, -7, -38
"/home/everlast1ng/code/vjudge/WUST/array/压缩技术（续集版）.cpp", "C++", 0, -31, 0, -7, -38
"/home/everlast1ng/code/vjudge/WUST/array/同行列对角线的格.cpp", "C++", 0, -34, 0, -8, -42
"/home/everlast1ng/code/vjudge/WUST/array/向量点积计算.cpp", "C++", 0, -20, 0, -6, -26
"/home/everlast1ng/code/vjudge/WUST/array/图像旋转.cpp", "C++", 0, -26, 0, -6, -32
"/home/everlast1ng/code/vjudge/WUST/array/图像模糊处理.cpp", "C++", 0, -30, 0, -6, -36
"/home/everlast1ng/code/vjudge/WUST/array/图像相似度.cpp", "C++", 0, -24, 0, -7, -31
"/home/everlast1ng/code/vjudge/WUST/array/小鱼比可爱.cpp", "C++", 0, -25, 0, -6, -31
"/home/everlast1ng/code/vjudge/WUST/array/小鱼的数字游戏.cpp", "C++", 0, -18, 0, -6, -24
"/home/everlast1ng/code/vjudge/WUST/array/工艺品制作.cpp", "C++", 0, -31, 0, -6, -37
"/home/everlast1ng/code/vjudge/WUST/array/年龄与疾病.cpp", "C++", 0, -25, 0, -6, -31
"/home/everlast1ng/code/vjudge/WUST/array/开关灯.cpp", "C++", 0, -19, 0, -6, -25
"/home/everlast1ng/code/vjudge/WUST/array/开灯.cpp", "C++", 0, -24, 0, -5, -29
"/home/everlast1ng/code/vjudge/WUST/array/彩票摇奖.cpp", "C++", 0, -30, 0, -6, -36
"/home/everlast1ng/code/vjudge/WUST/array/插火把.cpp", "C++", 0, -49, 0, -9, -58
"/home/everlast1ng/code/vjudge/WUST/array/数组逆序重存放.cpp", "C++", 0, -15, 0, -5, -20
"/home/everlast1ng/code/vjudge/WUST/array/整数去重.cpp", "C++", 0, -30, 0, -6, -36
"/home/everlast1ng/code/vjudge/WUST/array/方块转换 Transformations.cpp", "C++", 0, -111, 0, -19, -130
"/home/everlast1ng/code/vjudge/WUST/array/旗鼓相当的对手.cpp", "C++", 0, -23, 0, -6, -29
"/home/everlast1ng/code/vjudge/WUST/array/显示屏.cpp", "C++", 0, -25, 0, -3, -28
"/home/everlast1ng/code/vjudge/WUST/array/最长平台.cpp", "C++", 0, -34, 0, -6, -40
"/home/everlast1ng/code/vjudge/WUST/array/查找特定的值.cpp", "C++", 0, -21, 0, -7, -28
"/home/everlast1ng/code/vjudge/WUST/array/校门外的树.cpp", "C++", 0, -22, 0, -5, -27
"/home/everlast1ng/code/vjudge/WUST/array/梦中的统计.cpp", "C++", 0, -18, 0, -5, -23
"/home/everlast1ng/code/vjudge/WUST/array/爱与愁的心痛.cpp", "C++", 0, -28, 0, -7, -35
"/home/everlast1ng/code/vjudge/WUST/array/珠心算测验.cpp", "C++", 0, -25, 0, -6, -31
"/home/everlast1ng/code/vjudge/WUST/array/白细胞计数.cpp", "C++", 0, -36, 0, -10, -46
"/home/everlast1ng/code/vjudge/WUST/array/直方图.cpp", "C++", 0, -23, 0, -5, -28
"/home/everlast1ng/code/vjudge/WUST/array/矩阵乘法.cpp", "C++", 0, -37, 0, -5, -42
"/home/everlast1ng/code/vjudge/WUST/array/矩阵交换行.cpp", "C++", 0, -24, 0, -7, -31
"/home/everlast1ng/code/vjudge/WUST/array/矩阵加法.cpp", "C++", 0, -32, 0, -8, -40
"/home/everlast1ng/code/vjudge/WUST/array/矩阵转置.cpp", "C++", 0, -20, 0, -5, -25
"/home/everlast1ng/code/vjudge/WUST/array/神奇的幻方.cpp", "C++", 0, -35, 0, -7, -42
"/home/everlast1ng/code/vjudge/WUST/array/统计数字字符个数.cpp", "C++", 0, -15, 0, -5, -20
"/home/everlast1ng/code/vjudge/WUST/array/蛇形方阵.cpp", "C++", 0, -47, 0, -10, -57
"/home/everlast1ng/code/vjudge/WUST/array/计算矩阵边缘元素之和.cpp", "C++", 0, -32, 0, -6, -38
"/home/everlast1ng/code/vjudge/WUST/array/计算鞍点.cpp", "C++", 0, -40, 0, -6, -46
"/home/everlast1ng/code/vjudge/WUST/branch structure/ABC.cpp", "C++", 0, -18, 0, -2, -20
"/home/everlast1ng/code/vjudge/WUST/branch structure/Apples.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/ISBN 号码.cpp", "C++", 0, -34, 0, -4, -38
"/home/everlast1ng/code/vjudge/WUST/branch structure/三位数排序.cpp", "C++", 0, -12, 0, -2, -14
"/home/everlast1ng/code/vjudge/WUST/branch structure/三角函数.cpp", "C++", 0, -14, 0, -7, -21
"/home/everlast1ng/code/vjudge/WUST/branch structure/三角形分类.cpp", "C++", 0, -32, 0, -7, -39
"/home/everlast1ng/code/vjudge/WUST/branch structure/三角形判断.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/不高兴的津津.cpp", "C++", 0, -27, 0, -3, -30
"/home/everlast1ng/code/vjudge/WUST/branch structure/买铅笔.cpp", "C++", 0, -25, 0, -2, -27
"/home/everlast1ng/code/vjudge/WUST/branch structure/分段函数.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/判断一个数能否同时被 3 和 5 整除.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/判断数正负.cpp", "C++", 0, -11, 0, -2, -13
"/home/everlast1ng/code/vjudge/WUST/branch structure/判断是否为两位数.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/判断能否被 3，5，7 整除.cpp", "C++", 0, -24, 0, -2, -26
"/home/everlast1ng/code/vjudge/WUST/branch structure/奇偶 ASCII 值判断.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/奇偶数判断.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/小学数学 N 合一.cpp", "C++", 0, -38, 0, -3, -41
"/home/everlast1ng/code/vjudge/WUST/branch structure/小玉家的电费.cpp", "C++", 0, -17, 0, -2, -19
"/home/everlast1ng/code/vjudge/WUST/branch structure/小鱼的航程（改进版）.cpp", "C++", 0, -21, 0, -2, -23
"/home/everlast1ng/code/vjudge/WUST/branch structure/收集瓶盖赢大奖.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/数的性质.cpp", "C++", 0, -32, 0, -2, -34
"/home/everlast1ng/code/vjudge/WUST/branch structure/整数大小比较.cpp", "C++", 0, -11, 0, -3, -14
"/home/everlast1ng/code/vjudge/WUST/branch structure/晶晶赴约会.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/最大数输出.cpp", "C++", 0, -17, 0, -2, -19
"/home/everlast1ng/code/vjudge/WUST/branch structure/月份天数.cpp", "C++", 0, -15, 0, -2, -17
"/home/everlast1ng/code/vjudge/WUST/branch structure/有一门课不及格的学生.cpp", "C++", 0, -14, 0, -2, -16
"/home/everlast1ng/code/vjudge/WUST/branch structure/洛谷团队系统.cpp", "C++", 0, -16, 0, -2, -18
"/home/everlast1ng/code/vjudge/WUST/branch structure/点和正方形的关系.cpp", "C++", 0, -11, 0, -2, -13
"/home/everlast1ng/code/vjudge/WUST/branch structure/简单计算器 .cpp", "C++", 0, -21, 0, -2, -23
"/home/everlast1ng/code/vjudge/WUST/branch structure/肥胖问题.cpp", "C++", 0, -12, 0, -2, -14
"/home/everlast1ng/code/vjudge/WUST/branch structure/苹果和虫子.cpp", "C++", 0, -17, 0, -6, -23
"/home/everlast1ng/code/vjudge/WUST/branch structure/计算邮资.cpp", "C++", 0, -21, 0, -2, -23
"/home/everlast1ng/code/vjudge/WUST/branch structure/输出绝对值.cpp", "C++", 0, -9, 0, -2, -11
"/home/everlast1ng/code/vjudge/WUST/branch structure/闰年判断.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/branch structure/陶陶摘苹果.cpp", "C++", 0, -20, 0, -7, -27
"/home/everlast1ng/code/vjudge/WUST/branch structure/骑车与走路.cpp", "C++", 0, -17, 0, -2, -19
"/home/everlast1ng/code/vjudge/WUST/dp/B. Maximum Sum.cpp", "C++", 0, -38, 0, -10, -48
"/home/everlast1ng/code/vjudge/WUST/dp/B3637 最长上升子序列.cpp", "C++", 0, -38, -1, -8, -47
"/home/everlast1ng/code/vjudge/WUST/dp/P1255 数楼梯.cpp", "C++", 0, -22, -1, -4, -27
"/home/everlast1ng/code/vjudge/WUST/dp/P1466 [USACO2.2] 集合 Subset Sums.cpp", "C++", 0, -38, -1, -8, -47
"/home/everlast1ng/code/vjudge/WUST/dp/P2722 [USACO3.1] 总分 Score Inflation.cpp", "C++", 0, -37, -1, -7, -45
"/home/everlast1ng/code/vjudge/WUST/dp/Tickets.cpp", "C++", 0, -48, 0, -14, -62
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/A + B 问题 .cpp", "C++", 0, -9, 0, -2, -11
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/A+B for Input-Output Practice (I).cpp", "C++", 0, -14, 0, -5, -19
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/A+B for Input-Output Practice (II).cpp", "C++", 0, -18, 0, -7, -25
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/A+B for Input-Output Practice (III) .cpp", "C++", 0, -18, 0, -5, -23
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/A+B for Input-Output Practice (IV).cpp", "C++", 0, -23, 0, -4, -27
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/A+B for Input-Output Practice (V).cpp", "C++", 0, -22, 0, -5, -27
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/A+B for Input-Output Practice (VI).cpp", "C++", 0, -21, 0, -4, -25
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/Hello,World! .cpp", "C++", 0, -6, 0, -2, -8
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/入门测试题目.cpp", "C++", 0, -10, 0, -2, -12
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/地球人口承载力估计.cpp", "C++", 0, -10, 0, -2, -12
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/字符三角形.cpp", "C++", 0, -11, 0, -5, -16
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/对齐输出.cpp", "C++", 0, -9, 0, -2, -11
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/简单计算.cpp", "C++", 0, -9, 0, -2, -11
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/超简单计算.cpp", "C++", 0, -9, 0, -2, -11
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/输出字符菱形.cpp", "C++", 0, -12, 0, -2, -14
"/home/everlast1ng/code/vjudge/WUST/inputandoutput/输出第二个整数 .cpp", "C++", 0, -9, 0, -2, -11
"/home/everlast1ng/code/vjudge/WUST/loop/Davor.cpp", "C++", 0, -24, 0, -4, -28
"/home/everlast1ng/code/vjudge/WUST/loop/一尺之棰.cpp", "C++", 0, -14, 0, -2, -16
"/home/everlast1ng/code/vjudge/WUST/loop/不定方程求解.cpp", "C++", 0, -17, 0, -5, -22
"/home/everlast1ng/code/vjudge/WUST/loop/与 7 无关的数.cpp", "C++", 0, -29, 0, -6, -35
"/home/everlast1ng/code/vjudge/WUST/loop/与指定数字相同的数的个数.cpp", "C++", 0, -18, 0, -2, -20
"/home/everlast1ng/code/vjudge/WUST/loop/乘方计算.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/loop/人口增长问题.cpp", "C++", 0, -12, 0, -5, -17
"/home/everlast1ng/code/vjudge/WUST/loop/余数相同问题.cpp", "C++", 0, -16, 0, -6, -22
"/home/everlast1ng/code/vjudge/WUST/loop/分类平均.cpp", "C++", 0, -24, 0, -7, -31
"/home/everlast1ng/code/vjudge/WUST/loop/分苹果.cpp", "C++", 0, -13, 0, -5, -18
"/home/everlast1ng/code/vjudge/WUST/loop/含 k 个 3 的数.cpp", "C++", 0, -18, 0, -6, -24
"/home/everlast1ng/code/vjudge/WUST/loop/回文质数 Prime Palindromes.cpp", "C++", 0, -46, 0, -10, -56
"/home/everlast1ng/code/vjudge/WUST/loop/奇数求和.cpp", "C++", 0, -16, 0, -6, -22
"/home/everlast1ng/code/vjudge/WUST/loop/奥运奖牌计数.cpp", "C++", 0, -31, 0, -7, -38
"/home/everlast1ng/code/vjudge/WUST/loop/小玉在游泳.cpp", "C++", 0, -17, 0, -3, -20
"/home/everlast1ng/code/vjudge/WUST/loop/幂的末尾.cpp", "C++", 0, -14, 0, -3, -17
"/home/everlast1ng/code/vjudge/WUST/loop/打分.cpp", "C++", 0, -26, 0, -9, -35
"/home/everlast1ng/code/vjudge/WUST/loop/找最小值.cpp", "C++", 0, -15, 0, -2, -17
"/home/everlast1ng/code/vjudge/WUST/loop/救援.cpp", "C++", 0, -17, 0, -6, -23
"/home/everlast1ng/code/vjudge/WUST/loop/数列求和.cpp", "C++", 0, -13, 0, -2, -15
"/home/everlast1ng/code/vjudge/WUST/loop/数字反转.cpp", "C++", 0, -28, 0, -3, -31
"/home/everlast1ng/code/vjudge/WUST/loop/数字直角三角形.cpp", "C++", 0, -18, 0, -4, -22
"/home/everlast1ng/code/vjudge/WUST/loop/数字统计.cpp", "C++", 0, -14, 0, -2, -16
"/home/everlast1ng/code/vjudge/WUST/loop/整数的个数.cpp", "C++", 0, -19, 0, -3, -22
"/home/everlast1ng/code/vjudge/WUST/loop/斐波那契数列.cpp", "C++", 0, -26, 0, -7, -33
"/home/everlast1ng/code/vjudge/WUST/loop/最长连号.cpp", "C++", 0, -26, 0, -2, -28
"/home/everlast1ng/code/vjudge/WUST/loop/最高的分数.cpp", "C++", 0, -18, 0, -6, -24
"/home/everlast1ng/code/vjudge/WUST/loop/月落乌啼算钱（斐波那契数列）.cpp", "C++", 0, -21, 0, -6, -27
"/home/everlast1ng/code/vjudge/WUST/loop/求三角形.cpp", "C++", 0, -37, 0, -8, -45
"/home/everlast1ng/code/vjudge/WUST/loop/求出 e 的值.cpp", "C++", 0, -22, 0, -7, -29
"/home/everlast1ng/code/vjudge/WUST/loop/求分数序列和 .cpp", "C++", 0, -18, 0, -5, -23
"/home/everlast1ng/code/vjudge/WUST/loop/求小数的某一位.cpp", "C++", 0, -14, 0, -6, -20
"/home/everlast1ng/code/vjudge/WUST/loop/求极差.cpp", "C++", 0, -21, 0, -3, -24
"/home/everlast1ng/code/vjudge/WUST/loop/津津的储蓄计划.cpp", "C++", 0, -23, 0, -4, -27
"/home/everlast1ng/code/vjudge/WUST/loop/满足条件的数累加.cpp", "C++", 0, -15, 0, -3, -18
"/home/everlast1ng/code/vjudge/WUST/loop/球弹跳高度的计算.cpp", "C++", 0, -15, 0, -3, -18
"/home/everlast1ng/code/vjudge/WUST/loop/画矩形.cpp", "C++", 0, -32, 0, -2, -34
"/home/everlast1ng/code/vjudge/WUST/loop/第 n 小的质数.cpp", "C++", 0, -29, 0, -5, -34
"/home/everlast1ng/code/vjudge/WUST/loop/级数求和.cpp", "C++", 0, -18, 0, -6, -24
"/home/everlast1ng/code/vjudge/WUST/loop/线性筛素数.cpp", "C++", 0, -32, 0, -5, -37
"/home/everlast1ng/code/vjudge/WUST/loop/统计满足条件的 4 位数.cpp", "C++", 0, -15, 0, -5, -20
"/home/everlast1ng/code/vjudge/WUST/loop/药房管理.cpp", "C++", 0, -20, 0, -6, -26
"/home/everlast1ng/code/vjudge/WUST/loop/角谷猜想.cpp", "C++", 0, -20, 0, -6, -26
"/home/everlast1ng/code/vjudge/WUST/loop/计数问题.cpp", "C++", 0, -19, 0, -6, -25
"/home/everlast1ng/code/vjudge/WUST/loop/计算书费.cpp", "C++", 0, -29, 0, -2, -31
"/home/everlast1ng/code/vjudge/WUST/loop/计算分数加减表达式的值.cpp", "C++", 0, -17, 0, -2, -19
"/home/everlast1ng/code/vjudge/WUST/loop/计算多项式的值.cpp", "C++", 0, -14, 0, -2, -16
"/home/everlast1ng/code/vjudge/WUST/loop/计算星期几.cpp", "C++", 0, -20, 0, -6, -26
"/home/everlast1ng/code/vjudge/WUST/loop/质因数分解.cpp", "C++", 0, -16, 0, -3, -19
"/home/everlast1ng/code/vjudge/WUST/loop/质数口袋.cpp", "C++", 0, -37, 0, -9, -46
"/home/everlast1ng/code/vjudge/WUST/loop/金币.cpp", "C++", 0, -21, 0, -3, -24
"/home/everlast1ng/code/vjudge/WUST/loop/阶乘之和.cpp", "C++", 0, -46, 0, -4, -50
"/home/everlast1ng/code/vjudge/WUST/loop/鸡尾酒疗法.cpp", "C++", 0, -25, 0, -7, -32
"/home/everlast1ng/code/vjudge/WUST/string/Determinewhetherastringisapalindrome.cpp", "C++", 0, -17, 0, -4, -21
"/home/everlast1ng/code/vjudge/WUST/string/Luogu Academic.cpp", "C++", 0, -29, 0, -1, -30
"/home/everlast1ng/code/vjudge/WUST/string/Oulipo.cpp", "C++", 0, -29, 0, -1, -30
"/home/everlast1ng/code/vjudge/WUST/string/P1321 单词覆盖还原.cpp", "C++", 0, -37, -1, -5, -43
"/home/everlast1ng/code/vjudge/WUST/string/Permutation Counting.cpp", "C++", 0, -13, 0, -4, -17
"/home/everlast1ng/code/vjudge/WUST/string/Shortest Prefixes.cpp", "C++", 0, -41, 0, -7, -48
"/home/everlast1ng/code/vjudge/WUST/string/你的飞碟在这儿.cpp", "C++", 0, -22, 0, -2, -24
"/home/everlast1ng/code/vjudge/WUST/string/加密的病历单.cpp", "C++", 0, -32, 0, -2, -34
"/home/everlast1ng/code/vjudge/WUST/string/口算练习题.cpp", "C++", 0, -50, 0, -5, -55
"/home/everlast1ng/code/vjudge/WUST/string/小书童——凯撒密码.cpp", "C++", 0, -18, 0, -1, -19
"/home/everlast1ng/code/vjudge/WUST/string/小果的键盘.cpp", "C++", 0, -32, 0, -4, -36
"/home/everlast1ng/code/vjudge/WUST/string/手机.cpp", "C++", 0, -18, 0, -6, -24
"/home/everlast1ng/code/vjudge/WUST/string/数字反转（升级版）.cpp", "C++", 0, -74, 0, -6, -80
"/home/everlast1ng/code/vjudge/WUST/string/整理药名.cpp", "C++", 0, -21, 0, -3, -24
"/home/everlast1ng/code/vjudge/WUST/string/文字处理软件.cpp", "C++", 0, -43, 0, -2, -45
"/home/everlast1ng/code/vjudge/WUST/string/斯诺登的密码.cpp", "C++", 0, -35, 0, -9, -44
"/home/everlast1ng/code/vjudge/WUST/string/最高分数的学生姓名.cpp", "C++", 0, -31, 0, -4, -35
"/home/everlast1ng/code/vjudge/WUST/string/标题统计.cpp", "C++", 0, -14, 0, -1, -15
"/home/everlast1ng/code/vjudge/WUST/string/梦幻.cpp", "C++", 0, -55, 0, -5, -60
"/home/everlast1ng/code/vjudge/WUST/string/水仙花数.cpp", "C++", 0, -29, 0, -3, -32
"/home/everlast1ng/code/vjudge/WUST/string/浴眼盯真 .cpp", "C++", 0, -17, 0, -1, -18
"/home/everlast1ng/code/vjudge/WUST/string/笨小猴.cpp", "C++", 0, -35, 0, -12, -47
"/home/everlast1ng/code/vjudge/WUST/string/自动修正.cpp", "C++", 0, -13, 0, -5, -18
"/home/everlast1ng/code/vjudge/WUST/string/语句解析.cpp", "C++", 0, -49, 0, -1, -50
"/home/everlast1ng/code/vjudge/WUST/string/输出亲朋字符串.cpp", "C++", 0, -17, 0, -1, -18
"/home/everlast1ng/code/vjudge/WUST/二分/1-1 A（并非二分）.cpp", "C++", 0, -54, -1, -12, -67
"/home/everlast1ng/code/vjudge/WUST/二分/1.cpp", "C++", 0, -45, -1, -9, -55
"/home/everlast1ng/code/vjudge/WUST/二分/C. Sagheer and Nubian Market.cpp", "C++", 0, -66, -1, -13, -80
"/home/everlast1ng/code/vjudge/WUST/二分/Can you solve this equation.cpp", "C++", 0, -42, 0, -8, -50
"/home/everlast1ng/code/vjudge/WUST/二分/P1024 [NOIP 2001 提高组] 一元三次方程求解.cpp", "C++", 0, -47, -1, -7, -55
"/home/everlast1ng/code/vjudge/WUST/二分/P1281 [CERC1998] 书的复制.cpp", "C++", 0, -75, -2, -15, -92
"/home/everlast1ng/code/vjudge/WUST/二分/P1571 眼红的Medusa.cpp", "C++", 0, -40, -1, -7, -48
"/home/everlast1ng/code/vjudge/WUST/二分/P1843 奶牛晒衣服.cpp", "C++", 0, -50, -1, -9, -60
"/home/everlast1ng/code/vjudge/WUST/二分/P1873EKO 砍树.cpp", "C++", 0, -53, -1, -12, -66
"/home/everlast1ng/code/vjudge/WUST/二分/P9455 [入门赛 #14] 塔台超频 (Hard Version).cpp", "C++", 0, -49, -1, -11, -61
"/home/everlast1ng/code/vjudge/WUST/二分/Sumy.cpp", "C++", 0, -64, -1, -9, -74
"/home/everlast1ng/code/vjudge/WUST/二分/分巧克力.cpp", "C++", 0, -50, -1, -10, -61
"/home/everlast1ng/code/vjudge/WUST/二分/卡牌.cpp", "C++", 0, -53, -1, -9, -63
"/home/everlast1ng/code/vjudge/WUST/二分/小车问题.cpp", "C++", 0, -26, -1, -5, -32
"/home/everlast1ng/code/vjudge/WUST/二分/数列分段 Section II.cpp", "C++", 0, -60, -1, -10, -71
"/home/everlast1ng/code/vjudge/WUST/二分/木材加工.cpp", "C++", 0, -48, -1, -12, -61
"/home/everlast1ng/code/vjudge/WUST/二分/查找.cpp", "C++", 0, -48, -1, -8, -57
"/home/everlast1ng/code/vjudge/WUST/二分/模板.cpp", "C++", 0, -18, -2, -4, -24
"/home/everlast1ng/code/vjudge/WUST/二分/烦恼的高考志愿.cpp", "C++", 0, -43, -1, -12, -56
"/home/everlast1ng/code/vjudge/WUST/二分/狠狠地切割 (Hard Version).cpp", "C++", 0, -43, -1, -8, -52
"/home/everlast1ng/code/vjudge/WUST/二分/跳石头.cpp", "C++", 0, -59, -1, -15, -75
"/home/everlast1ng/code/vjudge/WUST/二分/进击的奶牛 Aggressive Cows G.cpp", "C++", 0, -50, -1, -12, -63
"/home/everlast1ng/code/vjudge/WUST/二分/递增三元组.CPP", "C++", 0, 0, 0, -1, -1
"/home/everlast1ng/code/vjudge/WUST/二分/青蛙过河.cpp", "C++", 0, -52, -1, -8, -61
"/home/everlast1ng/code/vjudge/WUST/位运算/P1100 高低位交换.cpp", "C++", 0, -25, -1, -8, -34
"/home/everlast1ng/code/vjudge/WUST/位运算/P1469 找筷子.cpp", "C++", 0, -29, -1, -6, -36
"/home/everlast1ng/code/vjudge/WUST/位运算/P8072.cpp", "C++", 0, -40, -1, -11, -52
"/home/everlast1ng/code/vjudge/WUST/位运算/P9496 「RiOI-2」hacker.cpp", "C++", 0, -50, 0, -8, -58
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/AT_abc233_d [ABC233D] Count Interval.cpp", "C++", 0, -34, -1, -6, -41
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/AtColor.cpp", "C++", 0, -39, -1, -9, -49
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/C. Good Subarrays.cpp", "C++", 0, -34, 0, -6, -40
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/GCD on Blackboard.cpp", "C++", 0, -51, -1, -8, -60
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/IncDec Sequence.cpp", "C++", 0, -39, -1, -7, -47
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/P1719 最大加权矩形.cpp", "C++", 0, -41, -1, -9, -51
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/P2004 领地选择.cpp", "C++", 0, -48, -1, -10, -59
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/P3078 [USACO13MAR] Poker Hands S.cpp", "C++", 0, -34, -1, -5, -40
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/P3131 [USACO16JAN] Subsequences Summing to Sevens S.cpp", "C++", 0, -49, -1, -14, -64
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/P3397 地毯.cpp", "C++", 0, -44, -1, -12, -57
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/P3406 海底高铁.cpp", "C++", 0, -45, -4, -9, -58
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/P3948 数据结构.cpp", "C++", 0, -65, -4, -7, -76
"/home/everlast1ng/code/vjudge/WUST/前缀和与差分/P8218 【深进1.例1】求区间和.cpp", "C++", 0, -38, -1, -10, -49
