"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/everlast1ng/code/CF/800/A. Submission is All You Need.cpp", "C++", 0, -34, 0, -9, -43
"/home/everlast1ng/code/CF/800/A. Tom Riddle's Diary.cpp", "C++", 0, -34, -1, -5, -40
"/home/everlast1ng/code/CF/800/A. Trippi Troppi.cpp", "C++", 0, -25, 0, -3, -28
"/home/everlast1ng/code/CF/800/B. Above the Clouds.cpp", "C++", 0, -43, 0, -8, -51
"/home/everlast1ng/code/CF/800/B. Alternating Series.cpp", "C++", 0, -40, 0, -6, -46
"/home/everlast1ng/code/CF/800/B. Bobritto Bandito.cpp", "C++", 0, -38, 0, -6, -44
"/home/everlast1ng/code/CF/800/B. Cake Collection.cpp", "C++", 0, -33, 0, -6, -39
"/home/everlast1ng/code/CF/800/B. Lasers.cpp", "C++", 0, -21, 0, -3, -24
"/home/everlast1ng/code/CF/800/B. No Casino in the Mountains.cpp", "C++", 0, -42, 0, -7, -49
"/home/everlast1ng/code/CF/800/B. Shrink.cpp", "C++", 0, -48, 0, -11, -59
"/home/everlast1ng/code/CF/800/B. Tournament.cpp", "C++", 0, -41, 0, -10, -51
"/home/everlast1ng/code/CF/800/B. Unconventional Pairs.cpp", "C++", 0, -29, 0, -4, -33
"/home/everlast1ng/code/CF/800/B. Villagers.cpp", "C++", 0, -32, 0, -7, -39
"/home/everlast1ng/code/CF/900/A. Indian Summer.cpp", "C++", 0, -30, -1, -6, -37
"/home/everlast1ng/code/CF/900/B. Not Quite a Palindromic String.cpp", "C++", 0, -46, 0, -7, -53
"/home/everlast1ng/code/CF/900/C. Brr Brrr Patapim.cpp", "C++", 0, -44, 0, -7, -51
"/home/everlast1ng/code/CF/900/C. MEX rose.cpp", "C++", 0, -35, -35, -20, -90
"/home/everlast1ng/code/CF/900/C. Pacer.cpp", "C++", 0, -37, 0, -8, -45
"/home/everlast1ng/code/CF/Educational Codeforces Round 184/A.cpp", "C++", 0, -49, -1, -9, -59
"/home/everlast1ng/code/CF/Educational Codeforces Round 184/B.cpp", "C++", 0, -103, -3, -13, -119
"/home/everlast1ng/code/CF/Educational Codeforces Round 184/C.cpp", "C++", 0, -42, 0, -7, -49
"/home/everlast1ng/code/CF/Educational Codeforces Round 185/A.cpp", "C++", 0, -39, 0, -6, -45
"/home/everlast1ng/code/CF/Educational Codeforces Round 185/B.cpp", "C++", 0, -48, -3, -10, -61
"/home/everlast1ng/code/CF/Educational Codeforces Round 185/C.cpp", "C++", 0, -59, 0, -9, -68
"/home/everlast1ng/code/CF/Global Round 30/A.cpp", "C++", 0, -39, 0, -4, -43
"/home/everlast1ng/code/CF/Global Round 30/B.cpp", "C++", 0, -71, 0, -10, -81
"/home/everlast1ng/code/CF/Global Round 30/C.cpp", "C++", 0, -63, 0, -11, -74
"/home/everlast1ng/code/CF/Round 1026/A.cpp", "C++", 0, -61, 0, -8, -69
"/home/everlast1ng/code/CF/Round 1026/B.cpp", "C++", 0, -40, 0, -6, -46
"/home/everlast1ng/code/CF/Round 1058/A. MEX Partition.cpp", "C++", 0, -38, 0, -6, -44
