Date : 2026-01-21 01:19:32
Directory : /home/everlasting/acm_training
Total : 184 files,  10791 codes, 101 comments, 873 blanks, all 11765 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        160 |      5,704 |        101 |        822 |      6,627 |
| Markdown |          8 |      5,093 |          0 |         52 |      5,145 |
| JSON     |          2 |          2 |          0 |          0 |          2 |
| PHP      |          1 |          1 |          0 |          0 |          1 |
| C        |         13 |         -9 |          0 |         -1 |        -10 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| niuke/牛客周赛/127                                                                    |          6 |        385 |          1 |         46 |        432 |
| niuke/牛客挑战赛                                                                       |          2 |         92 |          2 |         12 |        106 |
| niuke/练习赛                                                                         |          3 |        118 |          4 |         20 |        142 |
| niuke/练习赛/147                                                                     |          3 |        118 |          4 |         20 |        142 |
| 实验课                                                                               |          1 |         -9 |          0 |         -1 |        -10 |
| 板子                                                                                |         11 |        210 |          4 |         32 |        246 |
| 比赛                                                                                |         10 |        298 |          3 |         56 |        357 |
| 比赛/CNB24                                                                          |         10 |        298 |          3 |         56 |        357 |
| 洛谷                                                                                |         15 |        999 |         14 |        189 |      1,202 |
| 洛谷/并查集                                                                            |          5 |        308 |          4 |         52 |        364 |
| 洛谷/树状数组                                                                           |         10 |        691 |         10 |        137 |        838 |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                          | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/details.md      | Markdown |        981 |          0 |          6 |        987 |
| /home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/diff-details.md | Markdown |          9 |          0 |          6 |         15 |
| /home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/diff.md         | Markdown |         12 |          0 |          7 |         19 |
| /home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/results.json    | JSON     |          1 |          0 |          0 |          1 |
| /home/everlasting/acm_training/.VSCodeCounter/2025-12-03_10-24-02/results.md      | Markdown |        149 |          0 |          7 |        156 |
| /home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/details.md      | Markdown |      1,205 |          0 |          6 |      1,211 |
| /home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/diff-details.md | Markdown |      2,177 |          0 |          6 |      2,183 |
| /home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/diff.md         | Markdown |        349 |          0 |          7 |        356 |
| /home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/results.json    | JSON     |          1 |          0 |          0 |          1 |
| /home/everlasting/acm_training/.VSCodeCounter/2026-01-07_11-17-02/results.md      | Markdown |        211 |          0 |          7 |        218 |
